,director_name,imdb_score,movie_title
1571,Francis Ford Coppola,8.5,Apocalypse Now?
2242,Alfred Hitchcock,8.5,Psycho?
283,Ridley Scott,8.5,Gladiator?
4259,Florian Henckel von Donnersmarck,8.5,The Lives of Others?
4017,Jay Oliva,8.4,"Batman: The Dark Knight Returns, Part 2?"
4937,Bill Melendez,8.4,A Charlie Brown Christmas?
2686,Catherine Owens,8.4,U2 3D?
4496,Quentin Tarantino,8.4,Reservoir Dogs?
857,,8.4,Stargate SG-1?            
3982,,8.4,M*A*S*H?            
2606,Sam Mendes,8.4,American Beauty?
2644,David Lean,8.4,Lawrence of Arabia?
4105,Chan-wook Park,8.4,Oldboy?
4748,Marius A. Markevicius,8.4,The Other Dream Team?
2486,James Cameron,8.4,Aliens?
573,Mel Gibson,8.4,Braveheart?
1714,Sergio Leone,8.4,Once Upon a Time in America?
4253,Robert Mulligan,8.4,To Kill a Mockingbird?
1536,Richard Marquand,8.4,Star Wars: Episode VI - Return of the Jedi?
2970,Wolfgang Petersen,8.4,Das Boot?
1504,Moustapha Akkad,8.4,Lion of the Desert?
4659,Asghar Farhadi,8.4,A Separation?
1298,Jean-Pierre Jeunet,8.4,Am¨¦lie?
3871,,8.4,Anne of Green Gables?            
3661,,8.4,The Inbetweeners?            
2323,Hayao Miyazaki,8.4,Princess Mononoke?
3849,Darren Aronofsky,8.4,Requiem for a Dream?
3623,,8.4,Veronica Mars?            
3685,Rakeysh Omprakash Mehra,8.4,Rang De Basanti?
2362,Stanley Kubrick,8.4,The Shining?
3807,,8.4,Psych?            
58,Andrew Stanton,8.4,WALL¡¤E?
1329,S.S. Rajamouli,8.4,Baahubali: The Beginning?
4155,Billy Wilder,8.3,Some Like It Hot?
1416,Curtis Hanson,8.3,L.A. Confidential?
3079,Stanley Kubrick,8.3,2001: A Space Odyssey?
4077,Stanley Kramer,8.3,Judgment at Nuremberg?
4069,Billy Wilder,8.3,The Apartment?
2223,Michel Gondry,8.3,Eternal Sunshine of the Spotless Mind?
4688,Steve James,8.3,Hoop Dreams?
588,Quentin Tarantino,8.3,Inglourious Basterds?
3668,George Roy Hill,8.3,The Sting?
1906,Brian De Palma,8.3,Scarface?
2829,Oliver Hirschbiegel,8.3,Downfall?
1039,Steven Spielberg,8.3,Indiana Jones and the Last Crusade?
3089,Gus Van Sant,8.3,Good Will Hunting?
4972,Sut Jhally,8.3,"Peace, Propaganda & the Promised Land?"
2425,Martin Scorsese,8.3,Raging Bull?
4178,Stanley Donen,8.3,Singin' in the Rain?
4885,King Vidor,8.3,The Big Parade?
2866,Lenny Abrahamson,8.3,Room?
67,Pete Docter,8.3,Up?
1588,John Lasseter,8.3,Toy Story?
1947,,8.3,Shaun the Sheep?            
3117,Guy Ritchie,8.3,Snatch?
4286,Charles Ferguson,8.3,No End in Sight?
4535,Martin Scorsese,8.3,Taxi Driver?
4274,Charles Ferguson,8.3,Inside Job?
3643,Tony Kaye,8.3,Lake of Fire?
3903,John Sturges,8.3,The Great Escape?
4795,Terry Gilliam,8.3,Monty Python and the Holy Grail?
3017,Guy Ritchie,8.3,Snatch?
43,Lee Unkrich,8.3,Toy Story 3?
2407,Milos Forman,8.3,Amadeus?
120,Christopher Nolan,8.3,Batman Begins?
4774,Justin Paul Miller,8.3,The Sound and the Shadow?
4033,Thomas Vinterberg,8.3,The Hunt?
3397,,8.3,Preacher?            
1133,,8.3,The Returned?            
2760,Clint Eastwood,8.3,Unforgiven?
543,,8.3,Life?            
2734,Fritz Lang,8.3,Metropolis?
78,Pete Docter,8.3,Inside Out?
4000,Juan Jos¨¦ Campanella,8.2,The Secret in Their Eyes?
2250,Sean Penn,8.2,Into the Wild?
1359,John Carpenter,8.2,The Thing?
508,Ron Howard,8.2,A Beautiful Mind?
4458,Guy Ritchie,8.2,"Lock, Stock and Two Smoking Barrels?"
3550,Denis Villeneuve,8.2,Incendies?
4585,Joshua Oppenheimer,8.2,The Act of Killing?
3970,Victor Fleming,8.2,Gone with the Wind?
4945,Amal Al-Agroobi,8.2,The Brain That Sings?
4050,Danny Boyle,8.2,Trainspotting?
4474,Alfred Hitchcock,8.2,Rebecca?
4824,Frank Capra,8.2,It Happened One Night?
2703,Joel Coen,8.2,The Big Lebowski?
308,Martin Scorsese,8.2,The Wolf of Wall Street?
920,Martin Scorsese,8.2,Casino?
2047,Hayao Miyazaki,8.2,Howl's Moving Castle?
1777,Ridley Scott,8.2,Blade Runner?
2551,Guillermo del Toro,8.2,Pan's Labyrinth?
1978,Gavin O'Connor,8.2,Warrior?
98,Hideaki Anno,8.2,Godzilla Resurgence?
204,Hideaki Anno,8.2,Godzilla Resurgence?
93,Dean DeBlois,8.2,How to Train Your Dragon?
3650,,8.2,Emma?            
4444,Frank Lotito,8.2,Growing Up Smith?
1754,John McTiernan,8.2,Die Hard?
4787,Joe Kenemore,8.2,Rise of the Entrepreneur: The Search for a Better Way?
3604,,8.2,War & Peace?            
1710,,8.2,Trapped?            
338,Andrew Stanton,8.2,Finding Nemo?
2629,Michael Cimino,8.2,The Deer Hunter?
4404,Frank Capra,8.2,Mr. Smith Goes to Washington?
27,Anthony Russo,8.2,Captain America: Civil War?
3713,David Lynch,8.2,The Elephant Man?
3490,,8.2,Buffy the Vampire Slayer?            
4803,,8.2,Home Movies?            
4066,David Lean,8.2,The Bridge on the River Kwai?
4809,Ingmar Bergman,8.2,Cries & Whispers?
4638,Elia Kazan,8.2,On the Waterfront?
1869,Clint Eastwood,8.2,Gran Torino?
960,James McTeigue,8.2,V for Vendetta?
4160,Rajkumar Hirani,8.2,Lage Raho Munna Bhai?
5001,Martin Scorsese,8.2,The Last Waltz?
4530,John G. Avildsen,8.1,Rocky?
4281,,8.1,Strangers with Candy?            
278,Ridley Scott,8.1,The Martian?
4289,David Sington,8.1,In the Shadow of the Moon?
4271,Kevin Macdonald,8.1,Touching the Void?
1578,Wes Anderson,8.1,The Grand Budapest Hotel?
4267,Alejandro G. I?¨¢rritu,8.1,Amores Perros?
2590,Lasse Hallstr?m,8.1,Hachi: A Dog's Tale?
3582,Oliver Stone,8.1,Platoon?
1084,Denis Villeneuve,8.1,Prisoners?
3048,Stanley Kubrick,8.1,Barry Lyndon?
2651,Rob Reiner,8.1,The Princess Bride?
2614,Morten Tyldum,8.1,The Imitation Game?
238,Pete Docter,8.1,"Monsters, Inc.?"
4348,Jehane Noujaim,8.1,The Square?
1181,M. Night Shyamalan,8.1,The Sixth Sense?
2594,,8.1,Lilyhammer?            
1213,Frank Miller,8.1,Sin City?
3854,Richard Kelly,8.1,Donnie Darko?
3575,James Cameron,8.1,The Terminator?
1061,Andrei Tarkovsky,8.1,Solaris?
4838,Michael Roemer,8.1,Nothing But a Man?
2194,Tom McCarthy,8.1,Spotlight?
4461,Thomas Vinterberg,8.1,The Celebration?
3584,George Roy Hill,8.1,Butch Cassidy and the Sundance Kid?
1604,Clint Eastwood,8.1,Million Dollar Baby?
685,,8.1,The Missing?            
4920,Sharon Greytak,8.1,Archaeology of a Woman?
2480,Terry George,8.1,Hotel Rwanda?
4157,Victor Fleming,8.1,The Wizard of Oz?
4690,Joseph Kosinski,8.1,Destiny?
2088,Richard Attenborough,8.1,Gandhi?
4687,Fred Zinnemann,8.1,High Noon?
4682,Bernardo Bertolucci,8.1,The Conformist?
2830,Alejandro Amen¨¢bar,8.1,The Sea Inside?
812,Tim Miller,8.1,Deadpool?
3362,Rob Reiner,8.1,Stand by Me?
4912,Carl Theodor Dreyer,8.1,Ordet?
1911,Paul Thomas Anderson,8.1,There Will Be Blood?
4061,Richard Brooks,8.1,Cat on a Hot Tin Roof?
2870,Niels Arden Oplev,8.1,Del 1 - M?n som hatar kvinnor?            
128,George Miller,8.1,Mad Max: Fury Road?
4041,John Ford,8.1,The Man Who Shot Liberty Valance?
855,Quentin Tarantino,8.1,Kill Bill: Vol. 1?
4034,Bob Clark,8.1,A Christmas Story?
3969,Sidney Lumet,8.1,Network?
2755,Harold Ramis,8.1,Groundhog Day?
1373,Ron Howard,8.1,Rush?
3423,Katsuhiro ?tomo,8.1,Akira?
1875,Tate Taylor,8.1,The Help?
95,James Gunn,8.1,Guardians of the Galaxy?
1885,Ethan Coen,8.1,No Country for Old Men?
4190,Richard Linklater,8.1,Before Sunrise?
794,Joss Whedon,8.1,The Avengers?
3553,Jos¨¦ Padilha,8.1,Elite Squad?
183,Paul Greengrass,8.1,The Bourne Ultimatum?
205,Gore Verbinski,8.1,Pirates of the Caribbean: The Curse of the Black Pearl?
3881,,8.1,Animal Kingdom?            
2914,Je-kyu Kang,8.1,Tae Guk Gi: The Brotherhood of War?
697,Steven Spielberg,8.1,Jurassic Park?
3889,Woody Allen,8.1,Annie Hall?
17,Joss Whedon,8.1,The Avengers?
2174,Steve McQueen,8.1,12 Years a Slave?
715,David Fincher,8.1,Gone Girl?
4238,William Wyler,8.1,The Best Years of Our Lives?
719,Peter Weir,8.1,The Truman Show?
452,Martin Scorsese,8.1,Shutter Island?
4708,Michael Wadleigh,8.1,Woodstock?
179,Alejandro G. I?¨¢rritu,8.1,The Revenant?
2835,Darren Aronofsky,8.0,Black Swan?
1868,Barry Levinson,8.0,Rain Man?
3741,Edgar Wright,8.0,Shaun of the Dead?
2916,William Friedkin,8.0,The Exorcist?
4664,Georg Wilhelm Pabst,8.0,Pandora's Box?
4716,Lance McDaniel,8.0,Light from the Darkroom?
2712,Martin McDonagh,8.0,In Bruges?
2700,Terry Gilliam,8.0,Brazil?
4476,Billy Wilder,8.0,The Lost Weekend?
1217,Oliver Stone,8.0,JFK?
1747,Ron Clements,8.0,Aladdin?
2739,Andrey Zvyagintsev,8.0,The Return?
391,Ron Howard,8.0,Cinderella Man?
2907,Lars von Trier,8.0,Dancer in the Dark?
349,Brad Bird,8.0,The Incredibles?
2802,Julian Schnabel,8.0,The Diving Bell and the Butterfly?
2917,Steven Spielberg,8.0,Jaws?
286,Martin Campbell,8.0,Casino Royale?
2944,Martin Campbell,8.0,Casino Royale?
3630,Sam Peckinpah,8.0,The Wild Bunch?
307,Edward Zwick,8.0,Blood Diamond?
3714,Jean-Marc Vall¨¦e,8.0,Dallas Buyers Club?
1782,Jacques Perrin,8.0,Winged Migration?
2937,Franklin J. Schaffner,8.0,Patton?
2898,Tony Scott,8.0,True Romance?
2723,David Lynch,8.0,Mulholland Drive?
2884,Stephen Chbosky,8.0,The Perks of Being a Wallflower?
911,Steven Spielberg,8.0,Catch Me If You Can?
3280,Norman Jewison,8.0,Fiddler on the Roof?
2356,Kevin Costner,8.0,Dances with Wolves?
2539,Peter Weir,8.0,Dead Poets Society?
4261,Robert Rossen,8.0,The Hustler?
3179,David Lynch,8.0,The Straight Story?
3887,George A. Romero,8.0,Night of the Living Dead?
2762,Danny Boyle,8.0,Slumdog Millionaire?
2058,Spike Jonze,8.0,Her?
1501,Taylor Hackford,8.0,"Blood In, Blood Out?"
3821,Billy Bob Thornton,8.0,Sling Blade?
3287,Michael Moore,8.0,Sicko?
4884,Kristin Rizzo,8.0,Give Me Shelter?
4158,Mel Brooks,8.0,Young Frankenstein?
160,J.J. Abrams,8.0,Star Trek?
3344,Karan Johar,8.0,My Name Is Khan?
4897,Sergio Leone,8.0,A Fistful of Dollars?
4144,Walter Salles,8.0,Central Station?
3906,Richard Linklater,8.0,Boyhood?
3359,Robert Wise,8.0,The Sound of Music?
4096,Terrence Malick,8.0,Days of Heaven?
4914,Richard Schenkman,8.0,The Man from Earth?
4054,Michael Moore,8.0,Bowling for Columbine?
851,Gabriele Muccino,8.0,The Pursuit of Happyness?
4040,Roman Polanski,8.0,Rosemary's Baby?
119,Brad Bird,8.0,Ratatouille?
858,Quentin Tarantino,8.0,Kill Bill: Vol. 2?
1374,Paul Thomas Anderson,8.0,Magnolia?
3992,Richard Brooks,8.0,In Cold Blood?
3429,Bruce Beresford,8.0,Mr. Church?
1334,Joss Whedon,8.0,Serenity?
4951,George A. Romero,8.0,Night of the Living Dead?
4266,Richard Linklater,8.0,Before Sunset?
3026,David Lean,8.0,Doctor Zhivago?
4810,D.W. Griffith,8.0,Intolerance: Love's Struggle Throughout the Ages?
2607,Tom Hooper,8.0,The King's Speech?
4358,Elia Kazan,8.0,A Streetcar Named Desire?
3456,Vincent Paronnaud,8.0,Persepolis?
1603,Clint Eastwood,8.0,Mystic River?
1601,Neill Blomkamp,8.0,District 9?
47,Bryan Singer,8.0,X-Men: Days of Future Past?
1008,Brad Bird,8.0,The Iron Giant?
602,Tim Burton,8.0,Big Fish?
4387,Frank Capra,8.0,You Can't Take It with You?
4284,Ari Folman,8.0,Waltz with Bashir?
223,Ang Lee,8.0,Life of Pi?
4826,Lauren Lazin,8.0,Tupac: Resurrection?
2545,Michel Hazanavicius,8.0,The Artist?
3983,John Schlesinger,7.9,Midnight Cowboy?
845,Paul Greengrass,7.9,Captain Phillips?
3361,Jonathan Dayton,7.9,Little Miss Sunshine?
3084,,7.9,Lovesick?            
4082,Richard Linklater,7.9,Before Midnight?
4076,Richard Brooks,7.9,Elmer Gantry?
3029,David O. Russell,7.9,The Fighter?
3510,Yash Chopra,7.9,Veer-Zaara?
4415,Fabi¨¢n Bielinsky,7.9,Nine Queens?
3080,Steven Spielberg,7.9,E.T. the Extra-Terrestrial?
3677,Christophe Barratier,7.9,The Chorus?
1713,Edward Zwick,7.9,Glory?
3680,Spike Lee,7.9,Do the Right Thing?
4640,Cristian Mungiu,7.9,"4 Months, 3 Weeks and 2 Days?"
525,Alfonso Cuar¨®n,7.9,Children of Men?
1884,Brian De Palma,7.9,The Untouchables?
927,Andrew Adamson,7.9,Shrek?
3968,Fred Zinnemann,7.9,A Man for All Seasons?
1871,Pierre Morel,7.9,Taken?
4396,Francis Ford Coppola,7.9,The Conversation?
3452,Paul Haggis,7.9,Crash?
3768,Duncan Jones,7.9,Moon?
2919,St¨¦phane Aubier,7.9,Ernest & Celestine?
3357,Dan Gilroy,7.9,Nightcrawler?
962,,7.9,Unforgotten?            
3174,,7.9,Bones?            
1748,F. Gary Gray,7.9,Straight Outta Compton?
3193,Paul Haggis,7.9,Crash?
706,Quentin Tarantino,7.9,The Hateful Eight?
3864,Lukas Moodysson,7.9,Lilya 4-Ever?
4304,,7.9,Eureka?            
716,Doug Liman,7.9,The Bourne Identity?
1171,Yimou Zhang,7.9,Hero?
3264,Michael Haneke,7.9,Amour?
3535,Troy Duffy,7.9,The Boondock Saints?
639,Michael Mann,7.9,The Insider?
1802,,7.9,Limitless?            
1807,John Landis,7.9,The Blues Brothers?
1735,James Mangold,7.9,Walk the Line?
4499,Anna Muylaert,7.9,The Second Mother?
4186,Martin Ritt,7.9,Hud?
1813,Philip Kaufman,7.9,The Right Stuff?
4174,Stacy Peralta,7.9,Riding Giants?
3329,,7.9,Star Wars: The Clone Wars?            
3657,John Frankenheimer,7.9,The Train?
788,Cameron Crowe,7.9,Almost Famous?
2863,Clint Eastwood,7.9,Letters from Iwo Jima?
1606,Nick Cassavetes,7.9,The Notebook?
4554,Robert Kenner,7.9,"Food, Inc.?"
4115,,7.9,BrainDead?            
3595,Darren Aronofsky,7.9,The Wrestler?
0,James Cameron,7.9,Avatar?
2727,,7.9,The Company?            
2493,Yimou Zhang,7.9,Hero?
4992,Dave Carroll,7.9,Bending Steel?
23,Peter Jackson,7.9,The Hobbit: The Desolation of Smaug?
2449,Tim Burton,7.9,Ed Wood?
89,Don Hall,7.9,Big Hero 6?
353,John Lasseter,7.9,Toy Story 2?
2487,George Cukor,7.9,My Fair Lady?
2492,John Carpenter,7.9,Halloween?
4821,John Carpenter,7.9,Halloween?
2558,Edgar Wright,7.9,Hot Fuzz?
69,Jon Favreau,7.9,Iron Man?
2667,Paul Thomas Anderson,7.9,Boogie Nights?
2619,John Carpenter,7.9,Halloween?
2605,Ang Lee,7.9,"Crouching Tiger, Hidden Dragon?"
2177,Tim Burton,7.9,Edward Scissorhands?
4931,John Carney,7.9,Once?
2418,Edward Zwick,7.9,Glory?
2666,James Ivory,7.9,The Remains of the Day?
162,Dean DeBlois,7.9,How to Train Your Dragon 2?
75,Doug Liman,7.9,Edge of Tomorrow?
1993,Roger Donaldson,7.9,The World's Fastest Indian?
99,Peter Jackson,7.9,The Hobbit: An Unexpected Journey?
4079,,7.8,Robot Chicken?            
4481,John Ford,7.8,How Green Was My Valley?
4080,Howard Hawks,7.8,Red River?
4088,Deepa Mehta,7.8,Water?
1196,James Wan,7.8,The Conjuring 2?
2454,Kenneth Branagh,7.8,Hamlet?
4102,Todd Solondz,7.8,Happiness?
2460,Michael Haneke,7.8,The White Ribbon?
2611,Steven Spielberg,7.8,The Color Purple?
4093,Mel Stuart,7.8,Willy Wonka & the Chocolate Factory?
2959,Alexander Payne,7.8,Nebraska?
2973,Richard Curtis,7.8,About Time?
1056,Deepa Mehta,7.8,Earth?
2133,Trey Parker,7.8,South Park: Bigger Longer & Uncut?
2414,Alejandro G. I?¨¢rritu,7.8,Birdman or (The Unexpected Virtue of Ignorance)?
1756,Adam McKay,7.8,The Big Short?
1393,Andrew Niccol,7.8,Gattaca?
1397,Todd Phillips,7.8,The Hangover?
4047,Guy Hamilton,7.8,Goldfinger?
504,Jacques Perrin,7.8,Oceans?
2119,Christian Carion,7.8,Joyeux Noel?
2653,Nicolas Winding Refn,7.8,Drive?
2118,Paul Verhoeven,7.8,Black Book?
4493,Paul McGuigan,7.8,Lucky Number Slevin?
3624,John Cameron Mitchell,7.8,Hedwig and the Angry Inch?
516,Mark Osborne,7.8,The Little Prince?
2947,Josh Boone,7.8,The Fault in Our Stars?
3373,Justin Tipping,7.8,Kicks?
290,Ridley Scott,7.8,American Gangster?
1188,Robert Zemeckis,7.8,Back to the Future Part II?
975,David Fincher,7.8,The Game?
4168,Mel Brooks,7.8,Blazing Saddles?
3556,John Singleton,7.8,Boyz n the Hood?
195,Alfonso Cuar¨®n,7.8,Harry Potter and the Prisoner of Azkaban?
4880,Sam Martin,7.8,UnDivided?
4225,James Algar,7.8,Fantasia?
1592,Boaz Yakin,7.8,Remember the Titans?
4226,William Friedkin,7.8,The French Connection?
4318,Ralph Ziman,7.8,Gangster's Paradise: Jerusalema?
48,J.J. Abrams,7.8,Star Trek Into Darkness?
3586,Robert Redford,7.8,Ordinary People?
3585,Robert Stevenson,7.8,Mary Poppins?
1436,Mike Newell,7.8,Donnie Brasco?
2547,Wes Anderson,7.8,Moonrise Kingdom?
2542,Sidney Lumet,7.8,The Verdict?
4282,Kenneth Branagh,7.8,Hamlet?
3835,Shona Auerbach,7.8,Dear Frankie?
5008,Kevin Smith,7.8,Clerks?
3161,Mike Judge,7.8,Office Space?
1236,Mel Gibson,7.8,Apocalypto?
3101,Ken Annakin,7.8,The Longest Day?
3856,Mike van Diem,7.8,Character?
4816,Henry Alex Rubin,7.8,Murderball?
4353,James Marsh,7.8,Man on Wire?
1052,James Mangold,7.8,3:10 to Yuma?
3888,Sofia Coppola,7.8,Lost in Translation?
1211,Michael Mann,7.8,The Last of the Mohicans?
4171,James Ivory,7.8,Maurice?
1638,Joe Wright,7.8,Atonement?
767,Phil Lord,7.8,The Lego Movie?
2180,William Friedkin,7.8,The French Connection?
3058,Lasse Hallstr?m,7.8,What's Eating Gilbert Grape?
30,Sam Mendes,7.8,Skyfall?
4388,Fred Zinnemann,7.8,From Here to Eternity?
4385,Ritesh Batra,7.8,The Lunchbox?
994,,7.8,A Touch of Frost?            
4375,Tom Tykwer,7.8,Run Lola Run?
246,Alfonso Cuar¨®n,7.8,Gravity?
2004,Giuseppe Tornatore,7.8,The Best Offer?
1295,Wes Anderson,7.8,Fantastic Mr. Fox?
4263,Sylvain Chomet,7.8,The Triplets of Belleville?
101,David Fincher,7.8,The Curious Case of Benjamin Button?
4706,Mark Sandrich,7.8,Top Hat?
3989,,7.8,Empire?            
364,David Fincher,7.8,The Girl with the Dragon Tattoo?
2906,Mark Herman,7.8,The Boy in the Striped Pajamas?
398,Paul Greengrass,7.8,The Bourne Supremacy?
400,Steven Soderbergh,7.8,Ocean's Eleven?
90,Rich Moore,7.8,Wreck-It Ralph?
1346,,7.8,3rd Rock from the Sun?            
79,Jon Favreau,7.8,The Jungle Book?
2904,John Cromwell,7.8,The Prisoner of Zenda?
5036,Anthony Vallone,7.8,The Mongol King?
7,Nathan Greno,7.8,Tangled?
2900,James Foley,7.8,Glengarry Glen Ross?
3493,Sam Mendes,7.8,Skyfall?
2137,David O. Russell,7.8,Silver Linings Playbook?
2256,Stephen Chow,7.8,Kung Fu Hustle?
1908,Bernardo Bertolucci,7.8,The Last Emperor?
2384,James Schamus,7.8,Indignation?
1138,Andrew Davis,7.8,The Fugitive?
1846,Joel Coen,7.8,"O Brother, Where Art Thou??"
877,Clint Eastwood,7.8,Changeling?
422,Bob Fosse,7.8,All That Jazz?
1805,Jon Favreau,7.8,The Jungle Book?
1898,Marc Forster,7.8,Finding Neverland?
3985,Jim Abrahams,7.8,Airplane!?
1892,George P. Cosmatos,7.8,Tombstone?
2406,John McTiernan,7.8,Predator?
4003,Sam Raimi,7.8,Evil Dead II?
1812,Paul McGuigan,7.8,Lucky Number Slevin?
86,Anthony Russo,7.8,Captain America: The Winter Soldier?
2859,Spike Jonze,7.8,Being John Malkovich?
3960,Howard Hughes,7.8,Hell's Angels?
1776,Joe Wright,7.8,Pride & Prejudice?
102,Matthew Vaughn,7.8,X-Men: First Class?
610,Matthew Vaughn,7.7,Stardust?
4781,Paul Greengrass,7.7,Bloody Sunday?
1627,Woody Allen,7.7,Midnight in Paris?
3607,Kevin Macdonald,7.7,The Last King of Scotland?
3943,Jorge Ram¨ªrez Su¨¢rez,7.7,"Buen D¨ªa, Ram¨®n?"
893,Gabriele Muccino,7.7,Seven Pounds?
1137,Ben Affleck,7.7,Argo?
2466,,7.7,Carlos?            
3309,Hong-jin Na,7.7,The Wailing?
2386,Spike Jonze,7.7,Adaptation.?
1816,Alex Proyas,7.7,Dark City?
3565,Caroline Link,7.7,Nowhere in Africa?
1212,Taylor Hackford,7.7,Ray?
3574,Anton Corbijn,7.7,Control?
3060,Mike Leigh,7.7,Vera Drake?
3059,Philip Saville,7.7,The Visual Bible: The Gospel of John?
165,Zack Snyder,7.7,Watchmen?
4786,Lloyd Bacon,7.7,42nd Street?
4794,Stacy Peralta,7.7,Dogtown and Z-Boys?
2858,Alex Garland,7.7,Ex Machina?
2849,Eric Bress,7.7,The Butterfly Effect?
3296,Kenneth Branagh,7.7,Henry V?
2819,Ang Lee,7.7,Brokeback Mountain?
4675,Robert Greenwald,7.7,Iraq for Sale: The War Profiteers?
4798,,7.7,Heroes?            
2048,Ruben Fleischer,7.7,Zombieland?
709,Zack Snyder,7.7,300?
3468,Marc Webb,7.7,500 Days of Summer?
3847,,7.7,Secrets and Lies?            
1230,Kevin Reynolds,7.7,The Count of Monte Cristo?
2777,Stephen Frears,7.7,Dangerous Liaisons?
3139,Wes Anderson,7.7,Rushmore?
4835,Jean-Luc Godard,7.7,Pierrot le Fou?
2154,Steven Spielberg,7.7,Close Encounters of the Third Kind?
2772,Ted Kotcheff,7.7,First Blood?
4256,Stanley Kubrick,7.7,Lolita?
3846,Spike Lee,7.7,25th Hour?
2535,Ang Lee,7.7,Sense and Sensibility?
3178,Fran?ois Girard,7.7,The Red Violin?
3689,Shane Meadows,7.7,A Room for Romeo Brass?
932,James L. Brooks,7.7,As Good as It Gets?
2389,Terry Gilliam,7.7,Fear and Loathing in Las Vegas?
1517,Hayao Miyazaki,7.7,Ponyo?
633,Pierre Coffin,7.7,Despicable Me?
746,Tony Scott,7.7,Man on Fire?
4199,Larry Charles,7.7,Religulous?
744,Henry Selick,7.7,Coraline?
5038,Scott Smith,7.7,Signed Sealed Delivered?
434,David Fincher,7.7,Zodiac?
4216,Shane Meadows,7.7,This Is England?
3859,Chan-wook Park,7.7,Lady Vengeance?
2572,Jonathan Demme,7.7,Philadelphia?
3576,Wolfgang Becker,7.7,Good Bye Lenin!?
2818,Rob Reiner,7.7,Flipped?
3949,Fernando Le¨®n de Aranoa,7.7,Mondays in the Sun?
4328,Orson Welles,7.7,The Lady from Shanghai?
2016,Stephen Frears,7.7,Dangerous Liaisons?
396,Robert Zemeckis,7.7,Cast Away?
158,Edward Zwick,7.7,The Last Samurai?
4719,Richard Lester,7.7,A Hard Day's Night?
2641,James Marsh,7.7,The Theory of Everything?
4586,Alex Gibney,7.7,Taxi to the Dark Side?
